"stationId","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
3069,10,-72,2,-45,-3,-34,-13,-31,21,56,34,-34,-29,-17,-10,-62,-4,15,3,6,-40,-42,-14,6,-12,-42,-51,-23,-42,-21,-6
3074,-17,11,13,21,0,14,29,28,-24,-2,4,48,22,30,9,19,18,48,5,17,21,31,56,4,5,49,40,9,36,-16,14
3075,-9,-36,-5,-3,-20,-13,-30,-28,-18,-27,-31,-14,-42,-13,-7,-21,-13,-44,-46,12,-7,-8,-33,-32,-7,-11,-3,-11,-66,-2,20
3076,-16,2,-21,12,16,13,-8,-4,2,13,-8,0,-17,-11,-22,-3,-8,16,1,0,-21,12,-11,-4,-7,-18,-8,-14,-1,-16,-11
3077,2,-12,-30,2,-5,-7,-11,-7,-13,-23,-1,2,-16,-7,-16,-6,-19,-1,19,-32,-3,7,-10,-22,-1,-8,1,-7,-23,-9,-2
3078,-16,-5,22,9,-1,-12,6,2,0,19,14,5,1,19,-5,14,-3,-1,0,-16,-9,2,25,5,-5,4,12,-1,-21,24,6
3079,4,5,-12,4,-3,9,3,7,-7,-2,-8,-7,-4,4,2,3,16,11,-5,-10,-5,-5,10,-4,-3,1,-2,0,3,-16,-4
3080,4,0,-4,-4,2,-2,-3,-1,-8,0,2,2,-9,1,-1,2,-2,1,3,3,-4,-10,1,2,-3,0,0,3,-3,-19,-4
3081,6,11,-13,-4,6,9,-8,-4,3,2,-7,-3,9,5,-2,-3,4,-12,3,-1,-5,-4,10,-14,-8,-1,-2,-15,-3,8,-5
3082,-85,-91,-46,-91,-78,-57,-83,-33,-87,-75,-108,-122,-60,-26,-74,-85,-71,-87,-67,-45,-1,-79,-49,-62,-78,-29,-22,-97,-55,-67,-21
4108,0,-7,-2,-3,-4,-2,-4,-1,-2,-5,-2,0,-3,-5,-3,-2,-2,-7,-6,-2,-5,-7,2,-3,0,-5,-2,-1,0,1,2
4125,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4126,4,3,5,0,5,1,1,4,-2,0,1,3,5,3,5,-2,1,-4,0,0,3,1,1,-3,3,-3,-5,9,5,6,0
4127,-1,2,2,2,-3,-1,0,1,2,1,0,-1,0,-1,1,-1,-1,0,-2,-2,-1,5,-3,3,-1,2,4,3,2,-1,-1
4129,1,-6,-2,0,0,-2,0,-2,3,-3,0,-2,-8,-3,3,-3,1,1,-2,-1,-2,1,-1,3,1,-1,3,2,-1,4,-3
4130,0,0,1,-1,-5,-3,-1,-1,6,0,7,0,1,4,0,4,3,-1,12,2,4,-1,1,4,1,3,1,2,12,-5,-1
4131,-11,-5,-2,-10,4,-2,5,-1,0,-4,-4,2,0,1,-6,5,-5,-1,5,12,-9,1,-1,-3,-6,2,3,-2,-19,4,3
4132,3,1,0,6,2,2,4,-2,-3,3,-1,-2,2,0,2,2,6,-1,0,-6,6,1,2,-3,0,-1,-4,5,-6,6,2
4133,-5,-10,-6,-6,-3,-4,-3,-2,-9,-7,1,-2,-20,-4,-7,-4,-5,-4,-9,-1,-7,-2,-5,-8,-1,-8,-9,-11,-13,-4,1
