"station_id","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
4204,24,11,4,2,4,NULL,3,22,17,31,54,74,75,97,104,138,143,167,155,112,65,35,32,21
4205,9,5,5,4,NULL,NULL,1,5,18,19,44,57,69,61,66,72,70,84,68,51,42,24,21,20
4206,9,7,1,NULL,1,NULL,1,4,15,18,22,24,39,42,36,55,62,100,85,107,47,8,11,6
4207,10,6,1,NULL,1,NULL,35,77,67,84,97,62,75,72,85,79,117,125,107,121,96,43,15,33
4208,12,9,1,NULL,NULL,NULL,NULL,8,18,32,44,34,48,55,92,87,82,85,74,51,22,14,14,11
4209,28,10,5,1,1,15,48,103,122,405,220,149,186,272,264,243,266,328,254,189,124,63,49,45
4210,79,24,10,8,5,NULL,4,25,73,134,245,393,601,763,759,789,832,858,649,447,251,157,99,52
4211,39,18,5,NULL,3,1,NULL,6,16,44,62,99,136,149,211,248,237,253,158,136,90,54,55,24
4212,31,17,5,8,1,NULL,2,10,47,79,119,149,143,185,216,252,261,300,241,158,87,77,66,35
4213,3,9,2,NULL,NULL,NULL,NULL,2,5,13,23,32,27,30,37,20,38,57,39,42,33,4,15,5
4214,65,11,17,5,1,1,12,43,115,175,391,535,715,978,1107,1118,1154,1156,792,635,370,215,101,58
4215,55,23,27,10,12,13,23,73,190,199,393,671,905,947,1084,1123,1337,1173,1083,758,536,187,121,86
4216,9,5,2,6,NULL,NULL,5,12,22,35,32,24,29,48,81,77,113,116,86,96,54,18,16,21
4220,14,4,5,3,NULL,1,3,31,14,24,49,61,85,79,125,124,116,140,222,153,65,45,27,34
4227,2,2,NULL,1,NULL,1,2,2,1,1,5,4,6,6,7,4,9,2,6,1,4,NULL,NULL,1
4244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2,1,NULL,NULL,NULL,NULL
4249,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL
4254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,1
